"","id","Friend_Friend","Friend_Creativity","Friend_Influence","Friend_Implementation","Average","Z.score","bin"
"5",5,1,1,1,1,1,2.51521938537046,"(0.8,1]"
"11",11,1,1,1,1,1,2.51521938537046,"(0.8,1]"
"42",42,1,1,1,1,1,2.51521938537046,"(0.8,1]"
"43",43,1,1,1,0.5,0.833333333333333,1.86809460073827,"(0.8,1]"
"56",56,1,0.912870929175277,0.730296743340221,0.730296743340221,0.79115480528524,1.70432597546292,"(0.6,0.8]"
"27",27,1,0.730296743340221,0.612372435695795,0.912870929175277,0.751846702737098,1.55170249108832,"(0.6,0.8]"
"36",36,1,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,1.22096981610609,"(0.6,0.8]"
"25",25,1,0.5,0.666666666666667,0.547722557505166,0.571463074723944,0.851318192513217,"(0.4,0.6]"
"22",22,1,0.833333333333333,0.5,0.333333333333333,0.555555555555556,0.789553293017962,"(0.4,0.6]"
"35",35,1,0.333333333333333,0.666666666666667,0.666666666666667,0.555555555555556,0.789553293017962,"(0.4,0.6]"
"17",17,1,0.547722557505166,0.612372435695795,0.408248290463863,0.522781094554941,0.662298296919211,"(0.4,0.6]"
"19",19,1,0.204124145231932,0.730296743340221,0.612372435695795,0.515597774755983,0.634407271252139,"(0.4,0.6]"
"48",48,1,0.666666666666667,0.166666666666667,0.666666666666667,0.5,0.5738450314739,"(0.4,0.6]"
"50",50,1,0.666666666666667,0.333333333333333,0.5,0.5,0.5738450314739,"(0.4,0.6]"
"55",55,1,0.365148371670111,0.730296743340221,0.365148371670111,0.486864495560148,0.522843168583852,"(0.4,0.6]"
"10",10,1,0.223606797749979,0.730296743340221,0.447213595499958,0.467039045530053,0.445865928098084,"(0.4,0.6]"
"12",12,1,0.182574185835055,0.182574185835055,1,0.45504945722337,0.399313369593341,"(0.4,0.6]"
"21",21,1,0.365148371670111,0.5,0.5,0.45504945722337,0.399313369593341,"(0.4,0.6]"
"37",37,1,0.166666666666667,0.833333333333333,0.333333333333333,0.444444444444444,0.358136769929838,"(0.4,0.6]"
"51",51,1,0.5,0.666666666666667,0.166666666666667,0.444444444444444,0.358136769929838,"(0.4,0.6]"
"54",54,1,0.666666666666667,0.666666666666667,0,0.444444444444444,0.358136769929838,"(0.4,0.6]"
"39",39,1,0.471404520791032,0.471404520791032,0.365148371670111,0.435985804417391,0.32529399629511,"(0.4,0.6]"
"47",47,1,0.5,0.333333333333333,0.365148371670111,0.399493901667815,0.183605108049279,"(0.2,0.4]"
"3",3,1,0.166666666666667,0.5,0.5,0.388888888888889,0.142428508385775,"(0.2,0.4]"
"20",20,1,0,0.666666666666667,0.5,0.388888888888889,0.142428508385775,"(0.2,0.4]"
