"","advice_total","advice_rank","advice.weighted.rank","influence_total","influence_rank","influence.weight.rank","cs_avg_rank","cs_avg_rank.weighted","friends_total","friends_rank","friends_rank.weighted","total","total.rank"
"advice_33",15,4.5,1.35,11,8,3.2,6.5,1.625,15,1,0.05,6.225,1
"advice_34",16,3,0.9,13,6,2.4,6.5,1.625,1,57.5,2.875,7.8,2
"advice_30",8,12.5,3.75,17,2.5,1,16.5,4.125,1,57.5,2.875,11.75,3
"advice_21",9,9,2.7,22,1,0.4,41.5,10.375,10,5,0.25,13.725,4
"advice_02",4,28.5,8.55,8,10.5,4.2,3,0.75,7,17.5,0.875,14.375,5
"advice_57",7,15,4.5,5,22.5,9,3,0.75,6,23.5,1.175,15.425,6
"advice_22",17,2,0.6,10,9,3.6,43,10.75,8,11.5,0.575,15.525,7
"advice_23",10,7,2.1,6,15.5,6.2,25,6.25,3,47.5,2.375,16.925,8
"advice_01",6,17.5,5.25,6,15.5,6.2,13,3.25,3,47.5,2.375,17.075,9
"advice_52",4,28.5,8.55,16,4,1.6,25,6.25,7,17.5,0.875,17.275,10
"advice_29",5,22,6.6,5,22.5,9,11,2.75,9,8,0.4,18.75,11
"advice_17",15,4.5,1.35,6,15.5,6.2,50,12.5,12,2,0.1,20.15,12
"advice_28",4,28.5,8.55,5,22.5,9,8.5,2.125,7,17.5,0.875,20.55,13
"advice_50",8,12.5,3.75,7,12.5,5,46,11.5,8,11.5,0.575,20.825,14
"advice_26",8,12.5,3.75,4,32,12.8,16.5,4.125,5,30,1.5,22.175,15
"advice_07",0,58.5,17.55,17,2.5,1,16.5,4.125,8,11.5,0.575,23.25,16
"advice_24",5,22,6.6,5,22.5,9,31,7.75,4,37.5,1.875,25.225,17
"advice_20",2,46,13.8,15,5,2,34.5,8.625,7,17.5,0.875,25.3,18
"advice_15",3,36.5,10.95,4,32,12.8,3,0.75,2,54.5,2.725,27.225,19
"advice_13",3,36.5,10.95,3,39.5,15.8,3,0.75,6,23.5,1.175,28.675,20
"advice_16",3,36.5,10.95,4,32,12.8,20.5,5.125,5,30,1.5,30.375,21
"advice_46",11,6,1.8,1,54,21.6,34.5,8.625,10,5,0.25,32.275,22
"advice_11",8,12.5,3.75,4,32,12.8,57,14.25,4,37.5,1.875,32.675,23
"advice_37",6,17.5,5.25,3,39.5,15.8,39,9.75,4,37.5,1.875,32.675,23
"advice_49",5,22,6.6,2,46.5,18.6,29,7.25,3,47.5,2.375,34.825,25
"advice_58",2,46,13.8,3,39.5,15.8,23,5.75,6,23.5,1.175,36.525,26
"advice_56",2,46,13.8,5,22.5,9,55,13.75,8,11.5,0.575,37.125,27
"advice_48",4,28.5,8.55,3,39.5,15.8,49,12.25,7,17.5,0.875,37.475,28
"advice_39",1,54,16.2,4,32,12.8,37,9.25,4,37.5,1.875,40.125,29
"advice_35",4,28.5,8.55,2,46.5,18.6,47,11.75,5,30,1.5,40.4,30
"advice_12",3,36.5,10.95,2,46.5,18.6,41.5,10.375,7,17.5,0.875,40.8,31
"advice_44",2,46,13.8,1,54,21.6,27.5,6.875,3,47.5,2.375,44.65,32
"advice_31",2,46,13.8,1,54,21.6,33,8.25,3,47.5,2.375,46.025,33
"advice_03",1,54,16.2,0,59,23.6,36,9,3,47.5,2.375,51.175,34
"advice_27",1,54,16.2,1,54,21.6,53,13.25,0,60,3,54.05,35
